Time,Surge,Sway,Yaw
245.9,13.92637825,28.68041992,-237.1729279
246,15.94803238,32.67000961,-295.1600647
246.1,17.82258606,35.84685898,-358.0558777
246.2,19.45696831,38.10371017,-421.9349976
246.3,20.80174828,39.44835663,-483.5929565
246.4,21.84165192,39.9503479,-540.7853394
246.5,22.57716179,39.68530655,-591.9762573
246.6,23.01021004,38.71033096,-635.8909302
246.7,23.14344597,37.08413315,-671.2671509
246.8,22.99339676,34.91772461,-697.0512085
246.9,22.60839272,32.42090225,-712.9712524
247,22.07813835,29.90943146,-720.1420898
247.1,21.52570152,27.75797081,-721.2816772
247.2,21.08248711,26.31425858,-720.3063354
